Class_ID,Student_ID,Class_Level,Class_Section,Teacher_ID
1728,93810,SS2,A,8950
1728,24592,SS2,A,8950
1728,13278,SS2,A,8950
1728,46048,SS2,A,8950
1728,42098,SS2,A,8950
1728,39256,SS2,A,8950
1728,28289,SS2,A,8950
1728,23434,SS2,A,8950
1728,98696,SS2,A,8950
1728,81482,SS2,A,8950
1728,21395,SS2,A,8950
1728,87397,SS2,A,8950
1728,65302,SS2,A,8950
1728,14165,SS2,A,8950
1728,13905,SS2,A,8950
1728,22280,SS2,A,8950
1728,38657,SS2,A,8950
1728,40495,SS2,A,8950
1728,76237,SS2,A,8950
1728,88907,SS2,A,8950
1728,13478,SS2,A,8950
1728,83563,SS2,A,8950
1728,36062,SS2,A,8950
1728,95181,SS2,A,8950
1728,81426,SS2,A,8950
1728,64987,SS2,A,8950
1728,38893,SS2,A,8950
1728,68878,SS2,A,8950
1728,87236,SS2,A,8950
1728,46463,SS2,A,8950
1728,10851,SS2,A,8950
1728,30926,SS2,A,8950
1728,65392,SS2,A,8950
1728,54597,SS2,A,8950
1728,46421,SS2,A,8950
1728,30379,SS2,A,8950
1728,38221,SS2,A,8950
1728,54118,SS2,A,8950
1728,23396,SS2,A,8950
1728,22156,SS2,A,8950
1728,59797,SS2,A,8950
1728,22676,SS2,A,8950
1728,57052,SS2,A,8950
1728,55082,SS2,A,8950
1728,89131,SS2,A,8950
1728,44671,SS2,A,8950
1728,15695,SS2,A,8950
1728,70217,SS2,A,8950
1728,80284,SS2,A,8950
1728,26361,SS2,A,8950
1728,59615,SS2,A,8950
1728,20328,SS2,A,8950
1728,82357,SS2,A,8950
1728,48427,SS2,A,8950
1728,92397,SS2,A,8950
1728,91070,SS2,A,8950
1728,57400,SS2,A,8950
1728,85674,SS2,A,8950
1728,35203,SS2,A,8950
1728,19116,SS2,A,8950
1728,16006,SS2,A,8950
1728,96673,SS2,A,8950
1728,39871,SS2,A,8950
1728,47930,SS2,A,8950
1728,20458,SS2,A,8950
1728,40512,SS2,A,8950
1728,23238,SS2,A,8950
1728,59823,SS2,A,8950
1728,46434,SS2,A,8950
1728,69429,SS2,A,8950
1728,93320,SS2,A,8950
1728,57819,SS2,A,8950
1728,31319,SS2,A,8950
1728,58520,SS2,A,8950
1728,56566,SS2,A,8950
1728,37460,SS2,A,8950
1728,97841,SS2,A,8950
1728,44993,SS2,A,8950
1728,99593,SS2,A,8950
1728,94939,SS2,A,8950
1728,19358,SS2,A,8950
1728,89840,SS2,A,8950
1728,93227,SS2,A,8950
1728,32431,SS2,A,8950
1728,80010,SS2,A,8950
1728,42087,SS2,A,8950
1728,31417,SS2,A,8950
1728,70589,SS2,A,8950
1728,59735,SS2,A,8950
1728,45382,SS2,A,8950
1728,93886,SS2,A,8950
1728,83000,SS2,A,8950
1728,38785,SS2,A,8950
1728,99733,SS2,A,8950
1728,52504,SS2,A,8950
1728,17331,SS2,A,8950
1728,40021,SS2,A,8950
1728,14207,SS2,A,8950
1728,51347,SS2,A,8950
1728,62581,SS2,A,8950
1728,45093,SS2,A,8950
1728,18675,SS2,A,8950
1728,37653,SS2,A,8950
1728,84341,SS2,A,8950
1728,51245,SS2,A,8950
1728,37869,SS2,A,8950
1728,95909,SS2,A,8950
1728,75435,SS2,A,8950
1728,61856,SS2,A,8950
1728,94259,SS2,A,8950
1728,70142,SS2,A,8950
1728,28726,SS2,A,8950
1728,44718,SS2,A,8950
1728,28301,SS2,A,8950
1728,42325,SS2,A,8950
1728,83579,SS2,A,8950
1728,80644,SS2,A,8950
1728,44438,SS2,A,8950
1728,86622,SS2,A,8950
1728,66155,SS2,A,8950
1728,86484,SS2,A,8950
1728,62350,SS2,A,8950
1728,57447,SS2,A,8950
1728,38746,SS2,A,8950
1728,28131,SS2,A,8950
1728,76784,SS2,A,8950
1728,74686,SS2,A,8950
1728,21915,SS2,A,8950
1728,16175,SS2,A,8950
1728,24371,SS2,A,8950
1728,30033,SS2,A,8950
1728,92240,SS2,A,8950
1728,30969,SS2,A,8950
1728,99192,SS2,A,8950
1728,65333,SS2,A,8950
1728,88172,SS2,A,8950
1728,18326,SS2,A,8950
1728,60432,SS2,A,8950
1728,60019,SS2,A,8950
1728,88104,SS2,A,8950
1728,71348,SS2,A,8950
1728,79352,SS2,A,8950
1728,42953,SS2,A,8950
1728,82512,SS2,A,8950
1728,11504,SS2,A,8950
1728,99166,SS2,A,8950
1728,25014,SS2,A,8950
1728,99353,SS2,A,8950
1728,80381,SS2,A,8950
1728,44973,SS2,A,8950
1728,94012,SS2,A,8950
1728,54587,SS2,A,8950
1728,24621,SS2,A,8950
1728,48469,SS2,A,8950
1728,66985,SS2,A,8950
1728,30730,SS2,A,8950
1728,69470,SS2,A,8950
1728,10425,SS2,A,8950
1728,44522,SS2,A,8950
1728,75612,SS2,A,8950
1728,33416,SS2,A,8950
1728,76542,SS2,A,8950
1728,23947,SS2,A,8950
1728,91959,SS2,A,8950
1728,49117,SS2,A,8950
1728,93748,SS2,A,8950
1728,76540,SS2,A,8950
1728,89818,SS2,A,8950
1728,36071,SS2,A,8950
1728,30032,SS2,A,8950
1728,59009,SS2,A,8950
1728,31174,SS2,A,8950
1728,80697,SS2,A,8950
1728,79514,SS2,A,8950
1728,10074,SS2,A,8950
1728,88504,SS2,A,8950
1728,52487,SS2,A,8950
1728,74042,SS2,A,8950
1728,12552,SS2,A,8950
1728,24662,SS2,A,8950
1728,57576,SS2,A,8950
1728,50306,SS2,A,8950
1728,41385,SS2,A,8950
1728,17592,SS2,A,8950
1728,41571,SS2,A,8950
1728,84364,SS2,A,8950
1728,20322,SS2,A,8950
1728,21226,SS2,A,8950
1728,73699,SS2,A,8950
1728,19071,SS2,A,8950
1728,79822,SS2,A,8950
1728,26483,SS2,A,8950
1728,26828,SS2,A,8950
1728,96474,SS2,A,8950
1728,72296,SS2,A,8950
1728,82063,SS2,A,8950
1728,31643,SS2,A,8950
1728,44741,SS2,A,8950
1728,79163,SS2,A,8950
1728,89507,SS2,A,8950
1499,65461,SS3,C,7954
1499,37760,SS3,C,7954
1499,80686,SS3,C,7954
1499,36365,SS3,C,7954
1499,50857,SS3,C,7954
1499,62296,SS3,C,7954
1499,98039,SS3,C,7954
1499,95180,SS3,C,7954
1499,58944,SS3,C,7954
1499,67422,SS3,C,7954
1499,77839,SS3,C,7954
1499,69177,SS3,C,7954
1499,25860,SS3,C,7954
1499,42493,SS3,C,7954
1499,39451,SS3,C,7954
1499,18392,SS3,C,7954
1499,54313,SS3,C,7954
1499,12757,SS3,C,7954
1499,87110,SS3,C,7954
1499,82603,SS3,C,7954
1499,40161,SS3,C,7954
1499,87128,SS3,C,7954
1499,38864,SS3,C,7954
1499,10942,SS3,C,7954
1499,19305,SS3,C,7954
1499,92719,SS3,C,7954
1499,17716,SS3,C,7954
1499,40007,SS3,C,7954
1499,18834,SS3,C,7954
1499,14117,SS3,C,7954
1499,53309,SS3,C,7954
1499,19287,SS3,C,7954
1499,77391,SS3,C,7954
1499,41195,SS3,C,7954
1499,46500,SS3,C,7954
1499,97684,SS3,C,7954
1499,73624,SS3,C,7954
1499,38080,SS3,C,7954
1499,80678,SS3,C,7954
1499,27342,SS3,C,7954
1499,84847,SS3,C,7954
1499,85525,SS3,C,7954
1499,71953,SS3,C,7954
1499,41850,SS3,C,7954
1499,71993,SS3,C,7954
1499,63354,SS3,C,7954
1499,34957,SS3,C,7954
1499,22363,SS3,C,7954
1499,22704,SS3,C,7954
1499,96374,SS3,C,7954
1499,66498,SS3,C,7954
1499,56438,SS3,C,7954
1499,65519,SS3,C,7954
1499,63883,SS3,C,7954
1499,71213,SS3,C,7954
1499,17100,SS3,C,7954
1499,98259,SS3,C,7954
1499,95649,SS3,C,7954
1499,94696,SS3,C,7954
1499,22899,SS3,C,7954
1499,17944,SS3,C,7954
1499,62772,SS3,C,7954
1499,54473,SS3,C,7954
1499,24322,SS3,C,7954
1499,42591,SS3,C,7954
1499,35112,SS3,C,7954
1499,34931,SS3,C,7954
1499,80292,SS3,C,7954
1499,68800,SS3,C,7954
1499,28373,SS3,C,7954
1499,65296,SS3,C,7954
1499,34050,SS3,C,7954
1499,46509,SS3,C,7954
1499,70637,SS3,C,7954
1499,42742,SS3,C,7954
1499,19880,SS3,C,7954
1499,68082,SS3,C,7954
1499,82132,SS3,C,7954
1499,22833,SS3,C,7954
1499,16630,SS3,C,7954
1499,95477,SS3,C,7954
1499,80855,SS3,C,7954
1499,11934,SS3,C,7954
1499,22224,SS3,C,7954
1499,40982,SS3,C,7954
1499,31798,SS3,C,7954
1499,63269,SS3,C,7954
1499,73653,SS3,C,7954
1499,73092,SS3,C,7954
1499,38016,SS3,C,7954
1499,62565,SS3,C,7954
1499,17685,SS3,C,7954
1499,31579,SS3,C,7954
1499,59672,SS3,C,7954
1499,10282,SS3,C,7954
1499,61173,SS3,C,7954
1499,44760,SS3,C,7954
1499,69638,SS3,C,7954
1499,47388,SS3,C,7954
1499,65444,SS3,C,7954
1499,82845,SS3,C,7954
1499,96752,SS3,C,7954
1499,73788,SS3,C,7954
1499,30289,SS3,C,7954
1499,34890,SS3,C,7954
1499,48890,SS3,C,7954
1499,38534,SS3,C,7954
1499,17665,SS3,C,7954
1499,85914,SS3,C,7954
1499,81066,SS3,C,7954
1499,17989,SS3,C,7954
1499,51104,SS3,C,7954
1499,17492,SS3,C,7954
1499,16572,SS3,C,7954
1499,86569,SS3,C,7954
1499,72493,SS3,C,7954
1499,75909,SS3,C,7954
1499,79615,SS3,C,7954
1499,30635,SS3,C,7954
1499,17455,SS3,C,7954
1499,76562,SS3,C,7954
1499,20500,SS3,C,7954
1499,34356,SS3,C,7954
1499,18981,SS3,C,7954
1499,87992,SS3,C,7954
1499,18907,SS3,C,7954
1499,98501,SS3,C,7954
1499,40828,SS3,C,7954
1499,62923,SS3,C,7954
1499,25713,SS3,C,7954
1499,84668,SS3,C,7954
1499,42271,SS3,C,7954
1499,85880,SS3,C,7954
1499,87924,SS3,C,7954
1499,15209,SS3,C,7954
1499,91183,SS3,C,7954
1499,20745,SS3,C,7954
1499,64948,SS3,C,7954
1499,96163,SS3,C,7954
1499,86503,SS3,C,7954
1499,84085,SS3,C,7954
1499,78522,SS3,C,7954
1499,51467,SS3,C,7954
1499,44179,SS3,C,7954
1499,36772,SS3,C,7954
1499,97782,SS3,C,7954
1499,51180,SS3,C,7954
1499,41285,SS3,C,7954
1499,44814,SS3,C,7954
1499,61876,SS3,C,7954
1499,27154,SS3,C,7954
1499,94607,SS3,C,7954
1499,49321,SS3,C,7954
1499,69929,SS3,C,7954
1499,51441,SS3,C,7954
1499,19508,SS3,C,7954
1499,11220,SS3,C,7954
1499,70068,SS3,C,7954
1499,91416,SS3,C,7954
1499,83792,SS3,C,7954
1499,23104,SS3,C,7954
1499,19602,SS3,C,7954
1499,80468,SS3,C,7954
1499,37938,SS3,C,7954
1499,76307,SS3,C,7954
1499,27361,SS3,C,7954
1499,55745,SS3,C,7954
1499,19016,SS3,C,7954
1499,42018,SS3,C,7954
